Area,Date,Country,New Cases,New Deaths,Public Outdoor Gathering Person Limit,Public Indoor Gathering Person Limit,Private Outdoor Gathering Person Limit,Private Indoor Gathering Person Limit,Public Outdoor Household Limit,Public Indoor Household Limit,Private Outdoor Household Limit,Private Indoor Household Limit,Mandatory Mask Wearing,Some Face-to-Face Businesses Closed,Gastronomy Closed,Leisure Venues Closed,Retail Closed,All Face-to-Face Businesses Closed,Stay at Home Order,Curfew,Childcare Closed,Primary Schools Closed,Secondary Schools Closed,Universities Away
Lincolnshire,2020-08-01,England,2.0,0.0,30.0,30.0,30.0,30.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
Lincolnshire,2020-08-02,England,3.0,0.0,30.0,30.0,30.0,30.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
Lincolnshire,2020-08-03,England,7.0,0.0,30.0,30.0,30.0,30.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
Lincolnshire,2020-08-04,England,8.0,0.0,30.0,30.0,30.0,30.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
Lincolnshire,2020-08-05,England,9.0,0.0,30.0,30.0,30.0,30.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
Lincolnshire,2020-08-06,England,5.0,0.0,30.0,30.0,30.0,30.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
Lincolnshire,2020-08-07,England,6.0,0.0,30.0,30.0,30.0,30.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
Lincolnshire,2020-08-08,England,3.0,0.0,30.0,30.0,30.0,30.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
Lincolnshire,2020-08-09,England,3.0,0.0,30.0,30.0,30.0,30.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
Lincolnshire,2020-08-10,England,6.0,0.0,30.0,30.0,30.0,30.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
Lincolnshire,2020-08-11,England,2.0,2.0,30.0,30.0,30.0,30.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
Lincolnshire,2020-08-12,England,10.0,0.0,30.0,30.0,30.0,30.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
Lincolnshire,2020-08-13,England,9.0,0.0,30.0,30.0,30.0,30.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
Lincolnshire,2020-08-14,England,5.0,0.0,30.0,30.0,30.0,30.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
Lincolnshire,2020-08-15,England,3.0,0.0,30.0,30.0,30.0,30.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
Lincolnshire,2020-08-16,England,1.0,0.0,30.0,30.0,30.0,30.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
Lincolnshire,2020-08-17,England,10.0,0.0,30.0,30.0,30.0,30.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
Lincolnshire,2020-08-18,England,3.0,0.0,30.0,30.0,30.0,30.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
Lincolnshire,2020-08-19,England,6.0,0.0,30.0,30.0,30.0,30.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
Lincolnshire,2020-08-20,England,2.0,0.0,30.0,30.0,30.0,30.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
Lincolnshire,2020-08-21,England,3.0,0.0,30.0,30.0,30.0,30.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
