Area,Date,Country,New Cases,New Deaths,Public Outdoor Gathering Person Limit,Public Indoor Gathering Person Limit,Private Outdoor Gathering Person Limit,Private Indoor Gathering Person Limit,Public Outdoor Household Limit,Public Indoor Household Limit,Private Outdoor Household Limit,Private Indoor Household Limit,Mandatory Mask Wearing,Some Face-to-Face Businesses Closed,Gastronomy Closed,Leisure Venues Closed,Retail Closed,All Face-to-Face Businesses Closed,Curfew,Primary Schools Closed,Secondary Schools Closed,Universities Away
Lincolnshire,01/08/2020,England,2,0,30,30,30,30,30,30,30,30,2,1,0,1,0,0,0,1,1,1
Lincolnshire,02/08/2020,England,3,0,30,30,30,30,30,30,30,30,2,1,0,1,0,0,0,1,1,1
Lincolnshire,03/08/2020,England,7,0,30,30,30,30,30,30,30,30,2,1,0,1,0,0,0,1,1,1
Lincolnshire,04/08/2020,England,8,0,30,30,30,30,30,30,30,30,2,1,0,1,0,0,0,1,1,1
Lincolnshire,05/08/2020,England,9,0,30,30,30,30,30,30,30,30,2,1,0,1,0,0,0,1,1,1
Lincolnshire,06/08/2020,England,5,0,30,30,30,30,30,30,30,30,2,1,0,1,0,0,0,1,1,1
Lincolnshire,07/08/2020,England,6,0,30,30,30,30,30,30,30,30,2,1,0,1,0,0,0,1,1,1
Lincolnshire,08/08/2020,England,3,0,30,30,30,30,30,30,30,30,2,1,0,1,0,0,0,1,1,1
Lincolnshire,09/08/2020,England,3,0,30,30,30,30,30,30,30,30,2,1,0,1,0,0,0,1,1,1
Lincolnshire,10/08/2020,England,6,0,30,30,30,30,30,30,30,30,2,1,0,1,0,0,0,1,1,1
Lincolnshire,11/08/2020,England,2,2,30,30,30,30,30,30,30,30,2,1,0,1,0,0,0,1,1,1
Lincolnshire,12/08/2020,England,10,0,30,30,30,30,30,30,30,30,2,1,0,1,0,0,0,1,1,1
Lincolnshire,13/08/2020,England,9,0,30,30,30,30,30,30,30,30,2,1,0,1,0,0,0,1,1,1
Lincolnshire,14/08/2020,England,5,0,30,30,30,30,30,30,30,30,2,1,0,1,0,0,0,1,1,1
Lincolnshire,15/08/2020,England,3,0,30,30,30,30,30,30,30,30,2,1,0,0,0,0,0,1,1,1
Lincolnshire,16/08/2020,England,1,0,30,30,30,30,30,30,30,30,2,1,0,0,0,0,0,1,1,1
Lincolnshire,17/08/2020,England,10,0,30,30,30,30,30,30,30,30,2,1,0,0,0,0,0,1,1,1
Lincolnshire,18/08/2020,England,3,0,30,30,30,30,30,30,30,30,2,1,0,0,0,0,0,1,1,1
Lincolnshire,19/08/2020,England,6,0,30,30,30,30,30,30,30,30,2,1,0,0,0,0,0,1,1,1
Lincolnshire,20/08/2020,England,2,0,30,30,30,30,30,30,30,30,2,1,0,0,0,0,0,1,1,1
Lincolnshire,21/08/2020,England,3,0,30,30,30,30,30,30,30,30,2,1,0,0,0,0,0,1,1,1
Lincolnshire,22/08/2020,England,0,0,30,30,30,30,30,30,30,30,2,1,0,0,0,0,0,1,1,1
Lincolnshire,23/08/2020,England,2,0,30,30,30,30,30,30,30,30,2,1,0,0,0,0,0,1,1,1
Lincolnshire,24/08/2020,England,2,0,30,30,30,30,30,30,30,30,2,1,0,0,0,0,0,1,1,1
Lincolnshire,25/08/2020,England,3,0,30,30,30,30,30,30,30,30,2,1,0,0,0,0,0,1,1,1
Lincolnshire,26/08/2020,England,4,0,30,30,30,30,30,30,30,30,2,1,0,0,0,0,0,1,1,1
Lincolnshire,27/08/2020,England,9,0,30,30,30,30,30,30,30,30,2,1,0,0,0,0,0,1,1,1
Lincolnshire,28/08/2020,England,10,0,30,30,30,30,30,30,30,30,2,1,0,0,0,0,0,1,1,1
Lincolnshire,29/08/2020,England,2,0,30,30,30,30,30,30,30,30,2,1,0,0,0,0,0,1,1,1
Lincolnshire,30/08/2020,England,5,0,30,30,30,30,30,30,30,30,2,1,0,0,0,0,0,1,1,1
Lincolnshire,31/08/2020,England,12,0,30,30,30,30,30,30,30,30,2,1,0,0,0,0,0,1,1,1
Lincolnshire,01/09/2020,England,7,0,30,30,30,30,30,30,30,30,2,1,0,0,0,0,0,1,1,1
Lincolnshire,02/09/2020,England,32,0,30,30,30,30,30,30,30,30,2,1,0,0,0,0,0,1,1,1
Lincolnshire,03/09/2020,England,31,0,30,30,30,30,30,30,30,30,2,1,0,0,0,0,0,0,0,1
Lincolnshire,04/09/2020,England,20,0,30,30,30,30,30,30,30,30,2,1,0,0,0,0,0,0,0,1
Lincolnshire,05/09/2020,England,17,0,30,30,30,30,30,30,30,30,2,1,0,0,0,0,0,0,0,1
Lincolnshire,06/09/2020,England,9,0,30,30,30,30,30,30,30,30,2,1,0,0,0,0,0,0,0,1
Lincolnshire,07/09/2020,England,21,0,30,30,30,30,30,30,30,30,2,1,0,0,0,0,0,0,0,1
Lincolnshire,08/09/2020,England,43,0,30,30,30,30,30,30,30,30,2,1,0,0,0,0,0,0,0,1
Lincolnshire,09/09/2020,England,22,0,30,30,30,30,30,30,30,30,2,1,0,0,0,0,0,0,0,1
Lincolnshire,10/09/2020,England,15,0,30,30,30,30,30,30,30,30,2,1,0,0,0,0,0,0,0,1
Lincolnshire,11/09/2020,England,16,0,30,30,30,30,30,30,30,30,2,1,0,0,0,0,0,0,0,1
Lincolnshire,12/09/2020,England,10,0,30,30,30,30,30,30,30,30,2,1,0,0,0,0,0,0,0,1
Lincolnshire,13/09/2020,England,12,0,30,30,30,30,30,30,30,30,2,1,0,0,0,0,0,0,0,1
Lincolnshire,14/09/2020,England,19,0,6,6,6,6,6,6,6,6,2,1,0,0,0,0,0,0,0,1
Lincolnshire,15/09/2020,England,12,0,6,6,6,6,6,6,6,6,2,1,0,0,0,0,0,0,0,1
Lincolnshire,16/09/2020,England,31,0,6,6,6,6,6,6,6,6,2,1,0,0,0,0,0,0,0,1
Lincolnshire,17/09/2020,England,21,0,6,6,6,6,6,6,6,6,2,1,0,0,0,0,0,0,0,1
Lincolnshire,18/09/2020,England,19,0,6,6,6,6,6,6,6,6,2,1,0,0,0,0,0,0,0,1
Lincolnshire,19/09/2020,England,26,0,6,6,6,6,6,6,6,6,2,1,0,0,0,0,0,0,0,1
Lincolnshire,20/09/2020,England,22,0,6,6,6,6,6,6,6,6,2,1,0,0,0,0,0,0,0,1
Lincolnshire,21/09/2020,England,18,2,6,6,6,6,6,6,6,6,2,1,0,0,0,0,0,0,0,1
Lincolnshire,22/09/2020,England,22,1,6,6,6,6,6,6,6,6,2,1,0,0,0,0,0,0,0,1
Lincolnshire,23/09/2020,England,29,0,6,6,6,6,6,6,6,6,2,1,0,0,0,0,0,0,0,1
Lincolnshire,24/09/2020,England,25,0,6,6,6,6,6,6,6,6,2,1,0,0,0,0,0,0,0,1
Lincolnshire,25/09/2020,England,38,0,6,6,6,6,6,6,6,6,2,1,0,0,0,0,0,0,0,1
Lincolnshire,26/09/2020,England,23,0,6,6,6,6,6,6,6,6,2,1,0,0,0,0,0,0,0,1
Lincolnshire,27/09/2020,England,26,0,6,6,6,6,6,6,6,6,2,1,0,0,0,0,0,0,0,1
Lincolnshire,28/09/2020,England,43,0,6,6,6,6,6,6,6,6,2,1,0,0,0,0,0,0,0,1
Lincolnshire,29/09/2020,England,47,2,6,6,6,6,6,6,6,6,2,1,0,0,0,0,0,0,0,1
Lincolnshire,30/09/2020,England,56,0,6,6,6,6,6,6,6,6,2,1,0,0,0,0,0,0,0,1
Lincolnshire,01/10/2020,England,68,2,6,6,6,6,6,6,6,6,2,1,0,0,0,0,0,0,0,1
Lincolnshire,02/10/2020,England,80,1,6,6,6,6,6,6,6,6,2,1,0,0,0,0,0,0,0,1
Lincolnshire,03/10/2020,England,66,3,6,6,6,6,6,6,6,6,2,1,0,0,0,0,0,0,0,1
Lincolnshire,04/10/2020,England,50,3,6,6,6,6,6,6,6,6,2,1,0,0,0,0,0,0,0,1
Lincolnshire,05/10/2020,England,64,0,6,6,6,6,6,6,6,6,2,1,0,0,0,0,0,0,0,1
Lincolnshire,06/10/2020,England,76,0,6,6,6,6,6,6,6,6,2,1,0,0,0,0,0,0,0,1
Lincolnshire,07/10/2020,England,100,1,6,6,6,6,6,6,6,6,2,1,0,0,0,0,0,0,0,1
Lincolnshire,08/10/2020,England,105,0,6,6,6,6,6,6,6,6,2,1,0,0,0,0,0,0,0,1
Lincolnshire,09/10/2020,England,119,0,6,6,6,6,6,6,6,6,2,1,0,0,0,0,0,0,0,1
Lincolnshire,10/10/2020,England,84,2,6,6,6,6,6,6,6,6,2,1,0,0,0,0,0,0,0,1
Lincolnshire,11/10/2020,England,73,1,6,6,6,6,6,6,6,6,2,1,0,0,0,0,0,0,0,1
Lincolnshire,12/10/2020,England,112,1,6,6,6,6,6,6,6,6,2,1,0,0,0,0,0,0,0,0
Lincolnshire,13/10/2020,England,144,0,6,6,6,6,6,6,6,6,2,1,0,0,0,0,0,0,0,0
Lincolnshire,14/10/2020,England,121,2,6,6,6,6,6,6,6,6,2,1,0,0,0,0,0,0,0,0
Lincolnshire,15/10/2020,England,123,1,6,6,6,6,6,6,6,6,2,1,0,0,0,0,0,0,0,0
Lincolnshire,16/10/2020,England,92,1,6,6,6,6,6,6,6,6,2,1,0,0,0,0,0,0,0,0
Lincolnshire,17/10/2020,England,103,2,6,6,6,6,6,6,6,6,2,1,0,0,0,0,0,0,0,0
Lincolnshire,18/10/2020,England,86,0,6,6,6,6,6,6,6,6,2,1,0,0,0,0,0,0,0,0
Lincolnshire,19/10/2020,England,247,2,6,6,6,6,6,6,6,6,2,1,0,0,0,0,0,0,0,0
Lincolnshire,20/10/2020,England,213,3,6,6,6,6,6,6,6,6,2,1,0,0,0,0,0,0,0,0
Lincolnshire,21/10/2020,England,197,4,6,6,6,6,6,6,6,6,2,1,0,0,0,0,0,0,0,0
Lincolnshire,22/10/2020,England,252,2,6,6,6,6,6,6,6,6,2,1,0,0,0,0,0,0,0,0
Lincolnshire,23/10/2020,England,194,3,6,6,6,6,6,6,6,6,2,1,0,0,0,0,0,1,1,0
Lincolnshire,24/10/2020,England,182,2,6,6,6,6,6,6,6,6,2,1,0,0,0,0,0,1,1,0
Lincolnshire,25/10/2020,England,154,4,6,6,6,6,6,6,6,6,2,1,0,0,0,0,0,1,1,0
Lincolnshire,26/10/2020,England,275,3,6,6,6,6,6,6,6,6,2,1,0,0,0,0,0,1,1,0
Lincolnshire,27/10/2020,England,194,4,6,6,6,6,6,6,6,6,2,1,0,0,0,0,0,1,1,0
Lincolnshire,28/10/2020,England,221,3,6,6,6,6,6,6,6,6,2,1,0,0,0,0,0,1,1,0
Lincolnshire,29/10/2020,England,240,3,6,6,6,6,6,6,6,6,2,1,0,0,0,0,0,1,1,0
Lincolnshire,30/10/2020,England,234,2,6,6,6,6,6,6,6,6,2,1,0,0,0,0,0,1,1,0
Lincolnshire,31/10/2020,England,169,7,6,6,6,6,6,6,6,6,2,1,0,0,0,0,0,1,1,0
Lincolnshire,01/11/2020,England,124,4,6,6,6,6,6,6,6,6,2,1,0,0,0,0,0,1,1,0
Lincolnshire,02/11/2020,England,389,6,6,6,6,6,6,6,6,6,2,1,0,0,0,0,0,0,0,0
Lincolnshire,03/11/2020,England,284,0,6,6,6,6,6,6,6,6,2,1,0,0,0,0,0,0,0,0
Lincolnshire,04/11/2020,England,305,4,6,6,6,6,6,6,6,6,2,1,0,0,0,0,0,0,0,0
Lincolnshire,05/11/2020,England,302,3,2,1,1,1,2,1,1,1,2,1,1,1,1,1,0,0,0,0
Lincolnshire,06/11/2020,England,353,6,2,1,1,1,2,1,1,1,2,1,1,1,1,1,0,0,0,0
Lincolnshire,07/11/2020,England,229,1,2,1,1,1,2,1,1,1,2,1,1,1,1,1,0,0,0,0
Lincolnshire,08/11/2020,England,330,3,2,1,1,1,2,1,1,1,2,1,1,1,1,1,0,0,0,0
Lincolnshire,09/11/2020,England,503,5,2,1,1,1,2,1,1,1,2,1,1,1,1,1,0,0,0,0
Lincolnshire,10/11/2020,England,473,6,2,1,1,1,2,1,1,1,2,1,1,1,1,1,0,0,0,0
Lincolnshire,11/11/2020,England,451,8,2,1,1,1,2,1,1,1,2,1,1,1,1,1,0,0,0,0
Lincolnshire,12/11/2020,England,379,14,2,1,1,1,2,1,1,1,2,1,1,1,1,1,0,0,0,0
Lincolnshire,13/11/2020,England,387,10,2,1,1,1,2,1,1,1,2,1,1,1,1,1,0,0,0,0
Lincolnshire,14/11/2020,England,245,11,2,1,1,1,2,1,1,1,2,1,1,1,1,1,0,0,0,0
Lincolnshire,15/11/2020,England,218,6,2,1,1,1,2,1,1,1,2,1,1,1,1,1,0,0,0,0
Lincolnshire,16/11/2020,England,483,10,2,1,1,1,2,1,1,1,2,1,1,1,1,1,0,0,0,0
Lincolnshire,17/11/2020,England,402,8,2,1,1,1,2,1,1,1,2,1,1,1,1,1,0,0,0,0
Lincolnshire,18/11/2020,England,284,17,2,1,1,1,2,1,1,1,2,1,1,1,1,1,0,0,0,0
Lincolnshire,19/11/2020,England,313,15,2,1,1,1,2,1,1,1,2,1,1,1,1,1,0,0,0,0
Lincolnshire,20/11/2020,England,258,12,2,1,1,1,2,1,1,1,2,1,1,1,1,1,0,0,0,0
Lincolnshire,21/11/2020,England,181,11,2,1,1,1,2,1,1,1,2,1,1,1,1,1,0,0,0,0
Lincolnshire,22/11/2020,England,164,13,2,1,1,1,2,1,1,1,2,1,1,1,1,1,0,0,0,0
Lincolnshire,23/11/2020,England,394,16,2,1,1,1,2,1,1,1,2,1,1,1,1,1,0,0,0,0
Lincolnshire,24/11/2020,England,370,17,2,1,1,1,2,1,1,1,2,1,1,1,1,1,0,0,0,0
Lincolnshire,25/11/2020,England,287,18,2,1,1,1,2,1,1,1,2,1,1,1,1,1,0,0,0,0
Lincolnshire,26/11/2020,England,250,18,2,1,1,1,2,1,1,1,2,1,1,1,1,1,0,0,0,0
Lincolnshire,27/11/2020,England,302,15,2,1,1,1,2,1,1,1,2,1,1,1,1,1,0,0,0,0
Lincolnshire,28/11/2020,England,224,15,2,1,1,1,2,1,1,1,2,1,1,1,1,1,0,0,0,0
Lincolnshire,29/11/2020,England,169,8,2,1,1,1,2,1,1,1,2,1,1,1,1,1,0,0,0,0
Lincolnshire,30/11/2020,England,346,18,2,1,1,1,2,1,1,1,2,1,1,1,1,1,0,0,0,0
Lincolnshire,01/12/2020,England,295,21,2,1,1,1,2,1,1,1,2,1,1,1,1,1,0,0,0,0
Lincolnshire,02/12/2020,England,323,14,6,1,1,1,6,1,1,1,2,1,1,1,0,0,0,0,0,0
Lincolnshire,03/12/2020,England,246,14,6,1,1,1,6,1,1,1,2,1,1,1,0,0,0,0,0,0
Lincolnshire,04/12/2020,England,267,16,6,1,1,1,6,1,1,1,2,1,1,1,0,0,0,0,0,0
Lincolnshire,05/12/2020,England,183,14,6,1,1,1,6,1,1,1,2,1,1,1,0,0,0,0,0,0
Lincolnshire,06/12/2020,England,181,17,6,1,1,1,6,1,1,1,2,1,1,1,0,0,0,0,0,0
Lincolnshire,07/12/2020,England,422,15,6,1,1,1,6,1,1,1,2,1,1,1,0,0,0,0,0,0
Lincolnshire,08/12/2020,England,298,14,6,1,1,1,6,1,1,1,2,1,1,1,0,0,0,0,0,0
Lincolnshire,09/12/2020,England,310,16,6,1,1,1,6,1,1,1,2,1,1,1,0,0,0,0,0,1
Lincolnshire,10/12/2020,England,294,17,6,1,1,1,6,1,1,1,2,1,1,1,0,0,0,0,0,1
Lincolnshire,11/12/2020,England,325,11,6,1,1,1,6,1,1,1,2,1,1,1,0,0,0,0,0,1
Lincolnshire,12/12/2020,England,183,23,6,1,1,1,6,1,1,1,2,1,1,1,0,0,0,0,0,1
Lincolnshire,13/12/2020,England,171,12,6,1,1,1,6,1,1,1,2,1,1,1,0,0,0,0,0,1
Lincolnshire,14/12/2020,England,430,15,6,1,1,1,6,1,1,1,2,1,1,1,0,0,0,0,0,1
Lincolnshire,15/12/2020,England,301,15,6,1,1,1,6,1,1,1,2,1,1,1,0,0,0,0,0,1
Lincolnshire,16/12/2020,England,314,12,6,1,1,1,6,1,1,1,2,1,1,1,0,0,0,0,0,1
