,,,Limits on gatherings sizes and household mixing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Closures of face-to-face businesses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Curfew,,,,,,,,Schools,,,,,,,,,,,,,,,,,,Universities,,,,,,,,,,,,Other NPIs,,,,,,,
,,,Public outdoor gatherings - Limits on gathering sizes and household mixing,,,,,,,,,,Public indoor gatherings - Limits on gathering sizes and household mixing,,,,,,,,,,Household mixing in private (outdoors) - Limits on gathering sizes and household mixing                                                                ,,,,,,,,,,Household mixing in private (indoors) - Limits on gathering sizes and household mixing,,,,,,,,,,Night clubs closed,,,,,,,,Most or all gastronomy is closed or limited to take-away,,,,,,,,A large fraction of leisure and entertainment venues are closed,,,,,,,,Most or all retail shops and close-contact services are closed,,,,,,,,All non-essential face-to-face businesses are closed,,,,,,,,Night time curfew                                                ,,,,,,,,Most or all primary schools (roughly 5 or 6 to 10 or 11 years) have stopped most or all in-person teaching,,,,,,,,,Most or all secondary schools (roughly 10 or 11 years to 17 or 18 years) have stopped most or all in-person teaching,,,,,,,,,Most or all universities in this area are on break/vacation/have sent students away,,,,,,,,,Only answer if the local area has at least one university,,,Mask-wearing policy,,,,,,,
Country,Region,Local area,Limit on number of people (only X people or fewer) (Public Outdoors),Limit on number of households (Public Outdoors),Description of NPI,Start date (Public Outdoors),Quotes and comments,Sources start date,End date (Public Outdoors),Quotes and comments (if applicable),Sources end date (if applicable),,Limit on number of people (only X people or fewer) (Public Indoors),Limit on number of households (Public Indoors),Description of NPI,Start date (Public Indoors),Quotes and comments,Sources start date,End date (Public Indoors),Quotes and comments (if applicable),Sources end date (if applicable),,Limit on number of people (only X people or fewer) (Private Outdoors),Limit on number of households (Private Outdoors),Description of NPI,Start date (Private Outdoors),Quotes and comments,Sources start date,End date (Private Outdoors),Quotes and comments (if applicable),Sources end date (if applicable),,Limit on number of people (only X people or fewer) (Private Indoors),Limit on number of households (Private Indoors),Description of NPI,Start date (Private Indoors),Quotes and comments,Sources start date,End date (Private Indoors),Quotes and comments (if applicable),Sources end date (if applicable),,Description of NPI,Start date (Some Face2Face),Quotes and comments,Sources start date,End date (Some Face2Face),Quotes and comments (if applicable),Sources end date (if applicable),,Description of NPI (Gastronomy Closed),Start date  (Gastronomy Closed),Quotes and comments,Sources start date,End date (Gastronomy Closed),Quotes and comments (if applicable),Sources end date (if applicable),,Description of NPI,Start date (Leisure Venue),Quotes and comments,Sources start date,End date (Leisure Venue),Quotes and comments (if applicable),Sources end date (if applicable),,Description of NPI,Start date (Retail),Quotes and comments,Sources start date,End date (Retail),Quotes and comments (if applicable),Sources end date (if applicable),,Description of NPI,Start date (All Face2Face),Quotes and comments,Sources start date,End date (All Face2Face),Quotes and comments (if applicable),Sources end date (if applicable),,Description of NPI,Start date (Curfew),Quotes and comments,Sources start date,End date (Curfew),Quotes and comments (if applicable),Sources end date (if applicable),,Description of NPI,"What is the reason they currently don't teach: COVID, holidays, other?",Start date (Primary Schools),Quotes and comments,Sources start date,End date (Primary Schools),Quotes and comments (if applicable),Sources end date (if applicable),,Description of NPI,"What is the reason they currently don't teach: COVID, holidays, other?",Start date (Secondary Schools),Quotes and comments,Sources start date,End date (Secondary Schools),Quotes and comments (if applicable),Sources end date (if applicable),,Description of NPI (e.g. summer vacation),Start date (Unis Away),Quotes and comments,Sources start date,End date (Unis Away),Quotes and comments (if applicable),Sources end date (if applicable),,"How many universities does this local area have?

0, 1, or >1?",How many students do the universities in this local area roughly have (combined)?,How many inhabitants does the local area roughly have?,,Level of NPI (0-4) (Mask Wearing),Description of NPI,Start date (Mask Wearing),Quotes and comments,Sources start date,End date (Mask Wearing),Quotes and comments (if applicable),Sources end date (if applicable)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Switzerland,Genéve,,300,no,"Events are limited to 1000, no specific restrictions of public gatherings, divisions must be made in groups of 300, no distinction between indoor and outdoor",Before 1 August,Large events with over 1000 visitors or over 1000 people involved are prohibited.,https://www.fedlex.admin.ch/eli/cc/2020/439/de,17 August 2020,"National restrictions of public gatherings, agreed to by all cantons, are introduced",https://www.bag.admin.ch/bag/en/home/das-bag/aktuell/medienmitteilungen.msg-id-80771.html,,300,no,"Events are limited to 1000, no specific restrictions of public gatherings, divisions must be made in groups of 300, no distinction between indoor and outdoor",Before 1 August,Large events with over 1000 visitors or over 1000 people involved are prohibited.,https://www.fedlex.admin.ch/eli/cc/2020/439/de,17 August 2020,"National restrictions of public gatherings, agreed to by all cantons, are introduced",https://www.bag.admin.ch/bag/en/home/das-bag/aktuell/medienmitteilungen.msg-id-80771.html,,no,no,"No restriction on number of individuals at private events, no distinction between indoor and outdoor",Before 1 August,"For private events, specifically family events that are not open to the publicaccessible institutions or companies take place and their participating Persons are known to the organizers, only Article 3 applies [Article 3 pertains to mask wearing]",https://www.fedlex.admin.ch/eli/cc/2020/439/de#art_2,17 August 2020,"Private events of more than 100 people, but a maximum of 1000 people are prohibited, unless the organizers can guarantee strict compliance with maintaining the distance of 1.5 meters between people or wearing a mask at all times, without exception during throughout the event.",https://www.ge.ch/document/covid-19-nouvelles-mesures-prevention,,no,no,"No restriction on number of individuals at private events, no distinction between indoor and outdoor",Before 1 August,"For private events, specifically family events that are not open to the publicaccessible institutions or companies take place and their participating Persons are known to the organizers, only Article 3 applies [Article 3 pertains to mask wearing]",https://www.fedlex.admin.ch/eli/cc/2020/439/de#art_2,17 August 2020,"Private events of more than 100 people, but a maximum of 1000 people are prohibited, unless the organizers can guarantee strict compliance with maintaining the distance of 1.5 meters between people or wearing a mask at all times, without exception during throughout the event.",https://www.ge.ch/document/covid-19-nouvelles-mesures-prevention,,Discos and night clubs closed,31 July 2020,Discos and nightclubs closed,https://www.ge.ch/document/covid-19-conseil-etat-intensifie-mesures-protection-contre-propagation-du-coronavirus,no,Discos and nightclubs have not re-opened,https://www.bag.admin.ch/bag/en/home/krankheiten/ausbrueche-epidemien-pandemien/aktuelle-ausbrueche-epidemien/novel-cov/massnahmen-des-bundes.html,,Gastronomy closed,3 November 2020,"Bars, restaurants and non-essential shops closed Technically November 2, 2020 at 7 p.m",https://www.ge.ch/document/lutte-contre-covid-19-conseil-etat-declare-etat-necessite-met-place-mesures-plus-strictes-geneve,9 December 2020,the Council of State decided to confirm the reopening of restaurants on Thursday December 10 ,https://www.ge.ch/document/covid-19-conditions-reouverture-restaurants-reunions-fin-annee-tenue-cultes,,Leisure venues closed,3/11/2020,"Discos and nightclubs are closed; bars, cafes, restaurants, cafeterias, refreshment stalls and other similar establishments; entertainment and leisure facilities and establishments, including cinemas, museums, exhibition halls, libraries, game rooms, concert halls, theaters, casinos, public skating rinks, enclosed spaces in botanical gardens and zoos; fitness and wellness facilities and centers as well as swimming pools; retail stores and non-food markets. Technically November 2, 2020 at 7 p.m",https://www.ge.ch/document/lutte-contre-covid-19-conseil-etat-declare-etat-necessite-met-place-mesures-plus-strictes-geneve,28 November 2020,"(1) ""The reopening applies to museums, exhibitions and libraries. Cinemas and theatres must remain closed.""  (2) ""As of Saturday , November 28 , all businesses will be able to reopen their doors in compliance with strict sanitary measures inside and outside establishments."" (except: ""Regarding sports activities, restaurants, bars, nightclubs, as well as other places such as cinemas, theaters, performance halls and places of worship, the measures remain unchanged for the moment."")",(1) https://lenews.ch/2020/11/27/non-essential-shops-to-reopen-in-geneva/ (2) https://www.ge.ch/document/point-presse-du-conseil-etat-du-25-novembre-2020#extrait-22980,,Non-essential shops and close-contact services closed,3 November 2020,"“Discos and nightclubs are closed; bars, cafes, restaurants, cafeterias, refreshments and other similar establishments; entertainment and leisure facilities and establishments, including cinemas, museums, exhibition halls, libraries, game rooms, concert halls, theaters, casinos, public skating rinks, enclosed spaces in botanical gardens and zoos; fitness and wellness facilities and centers as well as swimming pools; retail stores and non-food markets. For coffee shops, retail businesses and non-food markets, take-out and delivery services remain permitted. Activities offering services involving close physical contact (eg hairdressers, beauticians, barbers, tattooists), as well as activities relating to prostitution and other assimilated activities (erotic massages) are prohibited",https://www.ge.ch/document/lutte-contre-covid-19-conseil-etat-declare-etat-necessite-met-place-mesures-plus-strictes-geneve,28 November 2020,"As of Saturday , November 28 , all businesses will be able to reopen their doors in compliance with strict sanitary measures inside and outside establishments. (except: ""Regarding sports activities, restaurants, bars, nightclubs, as well as other places such as cinemas, theaters, performance halls and places of worship, the measures remain unchanged for the moment."")",https://www.ge.ch/document/point-presse-du-conseil-etat-du-25-novembre-2020#extrait-22980,,Non-essential shops and close-contact services closed,3 November 2020,"“Discos and nightclubs are closed; bars, cafes, restaurants, cafeterias, refreshments and other similar establishments; entertainment and leisure facilities and establishments, including cinemas, museums, exhibition halls, libraries, game rooms, concert halls, theaters, casinos, public skating rinks, enclosed spaces in botanical gardens and zoos; fitness and wellness facilities and centers as well as swimming pools; retail stores and non-food markets. For coffee shops, retail businesses and non-food markets, take-out and delivery services remain permitted. Activities offering services involving close physical contact (eg hairdressers, beauticians, barbers, tattooists), as well as activities relating to prostitution and other assimilated activities (erotic massages) are prohibited",https://www.ge.ch/document/lutte-contre-covid-19-conseil-etat-declare-etat-necessite-met-place-mesures-plus-strictes-geneve,28 November 2020,"Non-essential shops to reopen in Geneva. Shops were not closed by the distinction of ""non-essential"" again",https://lenews.ch/2020/11/27/non-essential-shops-to-reopen-in-geneva/,,no,,,,,,,,Schools closed,Summer holiday,27 June 2020,,http://web.archive.org/web/20210130214040/https://www.geneve.ch/en/authorities-government/local-government/public-holidays-school-holidays,23 August 2020,,http://web.archive.org/web/20210130214040/https://www.geneve.ch/en/authorities-government/local-government/public-holidays-school-holidays,,Schools closed,Summer holiday,27 June 2020,,http://web.archive.org/web/20210130214040/https://www.geneve.ch/en/authorities-government/local-government/public-holidays-school-holidays,23 August 2020,,http://web.archive.org/web/20210130214040/https://www.geneve.ch/en/authorities-government/local-government/public-holidays-school-holidays,,Summer Holiday,Before August 1,"University of Geneva term dates were used for this as, though there were 9 institutions which comprise of the student population in Geneva (many of which are graduate), the University of Geneva makes up for more than half the total student population in Geneva",http://web.archive.org/web/20210130192115/https://www.unige.ch/gsem/en/students/calendar/,13 September 2020,"University of Geneva term dates were used for this as, though there were 9 institutions which comprise of the student population in Geneva (many of which are graduate), the University of Geneva makes up for more than half the total student population in Geneva",http://web.archive.org/web/20210130192115/https://www.unige.ch/gsem/en/students/calendar/,,>1,"29,000","198,979",,2,Mask mandate on public transport,6 July 2020,"Reisende in Fahrzeugen des öffentlichen Verkehrs wie Zügen, Strassenbahnen, Bussen, Schiffen und Seilbahnen müssen eine Gesichtsmaske tragen.",https://www.fedlex.admin.ch/eli/oc/2020/495/de,18 October 2020,Stricter mask mandate imposed,https://www.fedlex.admin.ch/eli/oc/2020/762/de
Switzerland,Genéve,,100,no,Divisions limited to 100,18 August 2020,"""The Council of State today decides to lower the limit of sub-groups (sectors) of participants from 300 to 100 people maximum."" ",https://www.ge.ch/document/covid-19-nouvelles-mesures-prevention,18 October 2020,,https://www.bag.admin.ch/bag/en/home/das-bag/aktuell/medienmitteilungen.msg-id-80771.html,,100,no,Divisions limited to 100,18 August 2020,"""The Council of State today decides to lower the limit of sub-groups (sectors) of participants from 300 to 100 people maximum."" ",https://www.ge.ch/document/covid-19-nouvelles-mesures-prevention,18 October 2020,,https://www.bag.admin.ch/bag/en/home/das-bag/aktuell/medienmitteilungen.msg-id-80771.html,,100,no,Private events limited to 100,18 August 2020,"(1) ""Private events of more than 100 people are prohibited, (but can have up to  but a maximum of 1000 people if ) the organizers can guarantee strict compliance with maintaining the distance of 1.5 meters between people or wearing a mask at all times, without exception during throughout the event."" (2) ""Private events continue to be limited to 100 people""",(1) https://www.ge.ch/document/covid-19-nouvelles-mesures-prevention (2) https://www.ge.ch/document/covid-19-25e-point-presse-sanitaire,25 October 2020,At events in family and friends (private events) thatnot take place in publicly accessible facilities and companiesa maximum of 10 people participate.,https://www.fedlex.admin.ch/eli/cc/2020/439/de#art_2,,100,no,Private events limited to 100,18 August 2020,"(1) ""Private events of more than 100 people are prohibited, (but can have up to  but a maximum of 1000 people if ) the organizers can guarantee strict compliance with maintaining the distance of 1.5 meters between people or wearing a mask at all times, without exception during throughout the event."" (2) ""Private events continue to be limited to 100 people""",(1) https://www.ge.ch/document/covid-19-nouvelles-mesures-prevention (2) https://www.ge.ch/document/covid-19-25e-point-presse-sanitaire,25 October 2020,At events in family and friends (private events) thatnot take place in publicly accessible facilities and companiesa maximum of 10 people participate.,https://www.fedlex.admin.ch/eli/cc/2020/439/de#art_2,,,,,,,,,,Gastronomy closed,24 December 2020,"COVID-19: the canton of Geneva goes federal as of December 23 at 11 p.m., restaurants and leisure establishments will be closed",https://www.ge.ch/document/covid-19-canton-geneve-passe-au-regime-federal-23-decembre-23h-restaurants-etablissements-loisirs-seront-fermes,no,,https://www.ge.ch/document/covid-19-geneve-prend-acte-annonces-confederation,,Leisure venues closed,24/12/2020,"COVID-19: the canton of Geneva goes federal as of December 23 at 11 p.m., restaurants and leisure establishments will be closed",https://www.ge.ch/document/covid-19-canton-geneve-passe-au-regime-federal-23-decembre-23h-restaurants-etablissements-loisirs-seront-fermes,no,"The new measures take effect from Tuesday, 22 December, and will apply until 22 January 2021.",https://www.admin.ch/gov/en/start/documentation/media-releases.msg-id-81745.html,,,,,,,,,,,,,,,,,,,,,,,,,,Schools closed,Mid-term holiday,17 October 2020,,http://web.archive.org/web/20210130214040/https://www.geneve.ch/en/authorities-government/local-government/public-holidays-school-holidays,25 October 2020,,http://web.archive.org/web/20210130214040/https://www.geneve.ch/en/authorities-government/local-government/public-holidays-school-holidays,,Schools closed,Mid-term holiday,17 October 2020,,http://web.archive.org/web/20210130214040/https://www.geneve.ch/en/authorities-government/local-government/public-holidays-school-holidays,25 October 2020,,http://web.archive.org/web/20210130214040/https://www.geneve.ch/en/authorities-government/local-government/public-holidays-school-holidays,,Winter Break,19 December 2020,"University of Geneva term dates were used for this as, though there were 9 institutions which comprise of the student population in Geneva (many of which are graduate), the University of Geneva makes up for more than half the total student population in Geneva",http://web.archive.org/web/20210130192115/https://www.unige.ch/gsem/en/students/calendar/,10 January 2021,"Classes only start again in January. Note: University of Geneva term dates were used for this as, though there were 9 institutions which comprise of the student population in Geneva (many of which are graduate), the University of Geneva makes up for more than half the total student population in Geneva.",http://web.archive.org/web/20210130192115/https://www.unige.ch/gsem/en/students/calendar/,,,,,,3,Mask mandate on public transport and in public indoor spaces,19 October 2020,"Jede Person muss in öffentlich zugänglichen Innenräumen von Einrichtungen und Betrieben, in Wartebereichen von Bahn, Bus und Tram und in Bahnhöfen,  Flughäfen und anderen Zugangsbereichen des öffentlichen Verkehrs eine Gesichtsmaske tragen.",https://www.fedlex.admin.ch/eli/oc/2020/762/de,1 November 2020,Stricter mask mandate imposed,https://www.fedlex.admin.ch/eli/oc/2020/793/de
Switzerland,Genéve,,15,no,"Gatherings in public space restricted to 15 individuals; organised events with hygiene measures can still take place with more individuals, no distinction between indoor and outdoor",19 October 2020,"Gatherings of more than 15 people in public spaces, namely in public places, on walking paths and in parks, are prohibited.."" ""From Monday, 19 October spontaneous gatherings of more than 15 persons are not permitted in public""",https://www.bag.admin.ch/bag/en/home/das-bag/aktuell/medienmitteilungen.msg-id-80771.html,2 November 2020,"Gatherings of more than 15 people in public spaces, namely in public places, on walking paths and in parks, are prohibited.",https://www.fedlex.admin.ch/eli/cc/2020/439/de#art_3_c,,15,no,"Gatherings in public space restricted to 15 individuals; organised events with hygiene measures can still take place with more individuals, no distinction between indoor and outdoor",19 October 2020,"Gatherings of more than 15 people in public spaces, namely in public places, on walking paths and in parks, are prohibited.."" ""From Monday, 19 October spontaneous gatherings of more than 15 persons are not permitted in public""",https://www.bag.admin.ch/bag/en/home/das-bag/aktuell/medienmitteilungen.msg-id-80771.html,2 November 2020,"Gatherings of more than 15 people in public spaces, namely in public places, on walking paths and in parks, are prohibited.",https://www.fedlex.admin.ch/eli/cc/2020/439/de#art_3_c,,5,no,Private gatherings limited to 5,26 October 2020,"The Council of State has decided to limit private events to 5 people. Children under 12 are not counted. Their number must not, however, be greater than the number of other participants.",https://www.ge.ch/document/covid-19-renforcement-mesures-relatives-aux-rassemblements-aux-manifestations-certains-types-etablissements-activites,21 December 2020,"Private meetings are limited to 5 people except between December 22 and January 3 (increase to 10 people , children included).",https://www.ge.ch/document/covid-19-canton-geneve-passe-au-regime-federal-23-decembre-23h-restaurants-etablissements-loisirs-seront-fermes,,5,no,Private gatherings limited to 5,26 October 2020,"The Council of State has decided to limit private events to 5 people. Children under 12 are not counted. Their number must not, however, be greater than the number of other participants.",https://www.ge.ch/document/covid-19-renforcement-mesures-relatives-aux-rassemblements-aux-manifestations-certains-types-etablissements-activites,21 December 2020,"Private meetings are limited to 5 people except between December 22 and January 3 (increase to 10 people , children included).",https://www.ge.ch/document/covid-19-canton-geneve-passe-au-regime-federal-23-decembre-23h-restaurants-etablissements-loisirs-seront-fermes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Schools closed,Winter holiday,24 December 2020,,http://web.archive.org/web/20210130214040/https://www.geneve.ch/en/authorities-government/local-government/public-holidays-school-holidays,10 January 2021,,http://web.archive.org/web/20210130214040/https://www.geneve.ch/en/authorities-government/local-government/public-holidays-school-holidays,,Schools closed,Winter holiday,24 December 2020,,http://web.archive.org/web/20210130214040/https://www.geneve.ch/en/authorities-government/local-government/public-holidays-school-holidays,10 January 2021,,http://web.archive.org/web/20210130214040/https://www.geneve.ch/en/authorities-government/local-government/public-holidays-school-holidays,,,,,,,,,,,,,,3,Mask mandate on public transport and in public indoor spaces; and in public outdoor spaces where social distancing cannot be upheld,2 November 2020,"Jede Person muss in öffentlich zugänglichen Innenräumen von Einrichtungen und Betrieben, in Wartebereichen von Bahn, Bus und Tram und in Bahnhöfen,  Flughäfen und anderen Zugangsbereichen des öffentlichen Verkehrs eine Gesichtsmaske tragen. and ""Jede Person muss im öffentlichen Raum in folgenden Bereichen eine Gesichtsmaske tragen: a. in belebten Fussgängerbereichen von urbanen Zentren und Dorfkernen; b. in weiteren Bereichen des öffentlichen Raums, sobald es zu einer Konzentration von Personen kommt, bei welcher der erforderliche Abstand nicht eingehalten werden kann.""",https://www.fedlex.admin.ch/eli/oc/2020/793/de,no,"Every person must wear a face mask in publicly accessible indoor and outdoor areas of facilities and businesses, including markets, as well as in waiting areas of trains, buses, trams and cable cars and in train stations, airports and other public transport access areas",https://web.archive.org/web/20210128042743/https://www.fedlex.admin.ch/eli/cc/2020/439/de
Switzerland,Genéve,,5,no,Public gatherings limited to 5,3 November 2020,"(1) ""The Council of State has decided to prohibit gatherings of more than 5 people in public space, in particular in public places, walks, parks and at the edge of water bodies. This limitation does not apply to people living together."" ""The Council of State is aware of the importance of maintaining a social and cultural life. He thus decided not to ban public demonstrations, but to limit them to 1,000 people."" (2)Note that the stricter restrictions that came in on Nov 2 no longer allowed large events, and maximum gatherings were put up to 50.",(1) https://www.ge.ch/document/covid-19-renforcement-mesures-relatives-aux-rassemblements-aux-manifestations-certains-types-etablissements-activites  (2) https://www.ge.ch/document/lutte-contre-covid-19-conseil-etat-declare-etat-necessite-met-place-mesures-plus-strictes-geneve ,no,,http://web.archive.org/web/20210130211741/https://www.ge.ch/en/covid-19-restrictions-closures-and-other-measures/meetings-gatherings-and-events,,5,no,Public gatherings limited to 5,3 November 2020,"(1) ""The Council of State has decided to prohibit gatherings of more than 5 people in public space, in particular in public places, walks, parks and at the edge of water bodies. This limitation does not apply to people living together."" ""The Council of State is aware of the importance of maintaining a social and cultural life. He thus decided not to ban public demonstrations, but to limit them to 1,000 people."" (2)Note that the stricter restrictions that came in on Nov 2 no longer allowed large events, and maximum gatherings were put up to 50.",(1) https://www.ge.ch/document/covid-19-renforcement-mesures-relatives-aux-rassemblements-aux-manifestations-certains-types-etablissements-activites  (2) https://www.ge.ch/document/lutte-contre-covid-19-conseil-etat-declare-etat-necessite-met-place-mesures-plus-strictes-geneve ,no,,http://web.archive.org/web/20210130211741/https://www.ge.ch/en/covid-19-restrictions-closures-and-other-measures/meetings-gatherings-and-events,,10,no,Private meetings limited to 10 over christmas,22 December 2020,"Private meetings are limited to 5 people except between December 22 and January 3 (increase to 10 people , children included).",https://www.ge.ch/document/covid-19-canton-geneve-passe-au-regime-federal-23-decembre-23h-restaurants-etablissements-loisirs-seront-fermes,3 January 2021,"Private meetings are limited to 5 people except between December 22 and January 3 (increase to 10 people , children included).",https://www.ge.ch/document/covid-19-canton-geneve-passe-au-regime-federal-23-decembre-23h-restaurants-etablissements-loisirs-seront-fermes,,10,no,Private meetings limited to 10 over christmas,22 December 2020,"Private meetings are limited to 5 people except between December 22 and January 3 (increase to 10 people , children included).",https://www.ge.ch/document/covid-19-canton-geneve-passe-au-regime-federal-23-decembre-23h-restaurants-etablissements-loisirs-seront-fermes,3 January 2021,"Private meetings are limited to 5 people except between December 22 and January 3 (increase to 10 people , children included).",https://www.ge.ch/document/covid-19-canton-geneve-passe-au-regime-federal-23-decembre-23h-restaurants-etablissements-loisirs-seront-fermes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Switzerland,Genéve,,,,,,,,,,,,,,,,,,,,,,5,no,private meeting limited to 5,4 January 2021,"Private meetings are limited to 5 people except between December 22 and January 3 (increase to 10 people , children included).",https://www.ge.ch/document/covid-19-canton-geneve-passe-au-regime-federal-23-decembre-23h-restaurants-etablissements-loisirs-seront-fermes,no,,http://web.archive.org/web/20210130211741/https://www.ge.ch/en/covid-19-restrictions-closures-and-other-measures/meetings-gatherings-and-events,,5,no,private meeting limited to 5,4 January 2021,"Private meetings are limited to 5 people except between December 22 and January 3 (increase to 10 people , children included).",https://www.ge.ch/document/covid-19-canton-geneve-passe-au-regime-federal-23-decembre-23h-restaurants-etablissements-loisirs-seront-fermes,no,,http://web.archive.org/web/20210130211741/https://www.ge.ch/en/covid-19-restrictions-closures-and-other-measures/meetings-gatherings-and-events,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
