Name,Type,HASC,AKZ,GKZ,NUTS,Population,Area(km.²),Capital,State Code (middle column of HASC)
Amstetten,b,AT.NO.AM,AM,305,121,"112,547","1,186",Amstetten,NO
Baden,b,AT.NO.BN,BN,306,"122,127","139,320",754,Baden,NO
Bludenz,b,AT.VO.BZ,BZ,801,341,"61,187","1,286",Bludenz,VO
Braunau am Inn,b,AT.OO.BR,BR,404,311,"98,000","1,040",Braunau am Inn,OO
Bregenz,b,AT.VO.BG,B,802,"341,342","127,262",865,Bregenz,VO
Bruck an der Leitha,b,AT.NO.BL,BL,307,127,"42,954",495,Bruck an der Leitha,NO
Bruck-Mürzzuschlag,b,AT.ST.BZ,BM,621,223,"102,175","2,155",Bruck an der Mur,ST
Deutschlandsberg,b,AT.ST.DL,DL,603,225,"60,748",864,Deutschlandsberg,ST
Dornbirn,b,AT.VO.DO,DO,803,342,"82,462",172,Dornbirn,VO
Eferding,b,AT.OO.EF,EF,405,312,"31,767",260,Eferding,OO
Eisenstadt,s,AT.BU.ES,E,101,112,"13,147",43,Eisenstadt,BU
Eisenstadt Umgebung,b,AT.BU.EU,EU,103,112,"40,943",453,Eisenstadt,BU
Feldkirch,b,AT.VO.FK,FK,804,342,"100,281",278,Feldkirch,VO
Feldkirchen,b,AT.KA.FE,FE,210,212,"30,363",559,Feldkirchen,KA
Freistadt,b,AT.OO.FR,FR,406,313,"65,131",994,Freistadt,OO
Gänserndorf,b,AT.NO.GF,GF,308,"125,126","95,975","1,272",Gänserndorf,NO
Gmünd,b,AT.NO.GD,GD,309,124,"37,793",787,Gmünd,NO
Gmunden,b,AT.OO.GM,GM,407,315,"99,595","1,433",Gmunden,OO
Graz,s,AT.ST.GZ,G,601,221,"264,351",127,Graz,ST
Graz Umgebung,b,AT.ST.GU,GU,606,221,"143,243","1,103",Graz,ST
Grieskirchen,b,AT.OO.GR,GR,408,311,"62,632",579,Grieskirchen,OO
Güssing,b,AT.BU.GS,GS,104,113,"26,662",485,Güssing,BU
Hallein,b,AT.SZ.HA,HA,502,323,"57,755",669,Hallein,SZ
Hartberg-Fürstenfeld,b,AT.ST.HF,HF,622,224,"89,486","1,223",Hartberg,ST
Hermagor,b,AT.KA.HE,HE,203,212,"18,765",809,Hermagor,KA
Hollabrunn,b,AT.NO.HL,HL,310,125,"50,381","1,011",Hollabrunn,NO
Horn,b,AT.NO.HO,HO,311,124,"31,510",784,Horn,NO
Imst,b,AT.TR.IM,IM,702,334,"56,660","1,724",Imst,TR
Innsbruck,s,AT.TR.IN,I,701,332,"121,076",105,Innsbruck,TR
Innsbruck Land,b,AT.TR.IL,IL,703,332,"167,082","1,989",Innsbruck,TR
Jennersdorf,b,AT.BU.JE,JE,105,113,"17,623",253,Jennersdorf,BU
Kirchdorf an der Krems,b,AT.OO.KI,KI,409,314,"55,607","1,239",Kirchdorf an der Krems,OO
Kitzbühel,b,AT.TR.KB,KB,704,335,"61,794","1,162",Kitzbühel,TR
Klagenfurt,s,AT.KA.KG,K,201,211,"94,683",120,Klagenfurt,KA
Klagenfurt Land,b,AT.KA.KL,KL,204,211,"58,611",766,Klagenfurt,KA
Korneuburg,b,AT.NO.KO,KO,312,126,"75,423",627,Korneuburg,NO
Krems an der Donau Land,b,AT.NO.KR,KR,313,124,"55,946",923,Krems an der Donau,NO
Krems an der Donau Stadt,s,AT.NO.KS,KS,301,124,"24,080",52,Krems an der Donau,NO
Kufstein,b,AT.TR.KU,KU,705,335,"101,251",969,Kufstein,TR
Landeck,b,AT.TR.LA,LA,706,334,"43,703","1,595",Landeck,TR
Leibnitz,b,AT.ST.LB,LB,610,225,"77,371",683,Leibnitz,ST
Leoben,b,AT.ST.LN,LN,611,223,"62,791","1,099",Leoben,ST
Lienz,b,AT.TR.LZ,LZ,707,333,"49,553","2,019",Lienz,TR
Liezen,b,AT.ST.LI,LI,612,222,"79,556","3,268",Liezen,ST
Lilienfeld,b,AT.NO.LF,LF,314,122,"26,417",932,Lilienfeld,NO
Linz,s,AT.OO.LS,L,401,312,"190,802",96,Linz,OO
Linz Land,b,AT.OO.LL,LL,410,312,"139,218",460,Linz,OO
Mattersburg,b,AT.BU.MA,MA,106,112,"39,100",238,Mattersburg,BU
Melk,b,AT.NO.ME,ME,315,121,"76,431","1,014",Melk,NO
