date,area,new_cases,total_deaths
2020-02-24T18:00:00,Abruzzo,0,0
2020-02-24T18:00:00,Basilicata,0,0
2020-02-24T18:00:00,Calabria,0,0
2020-02-24T18:00:00,Campania,0,0
2020-02-24T18:00:00,Emilia-Romagna,18,0
2020-02-24T18:00:00,Friuli Venezia Giulia,0,0
2020-02-24T18:00:00,Lazio,2,0
2020-02-24T18:00:00,Liguria,0,0
2020-02-24T18:00:00,Lombardia,166,6
2020-02-24T18:00:00,Marche,0,0
2020-02-24T18:00:00,Molise,0,0
2020-02-24T18:00:00,P.A. Bolzano,0,0
2020-02-24T18:00:00,P.A. Trento,0,0
2020-02-24T18:00:00,Piemonte,3,0
2020-02-24T18:00:00,Puglia,0,0
2020-02-24T18:00:00,Sardegna,0,0
2020-02-24T18:00:00,Sicilia,0,0
2020-02-24T18:00:00,Toscana,0,0
2020-02-24T18:00:00,Umbria,0,0
2020-02-24T18:00:00,Valle d'Aosta,0,0
2020-02-24T18:00:00,Veneto,32,1
2020-02-25T18:00:00,Abruzzo,0,0
2020-02-25T18:00:00,Basilicata,0,0
2020-02-25T18:00:00,Calabria,0,0
2020-02-25T18:00:00,Campania,0,0
2020-02-25T18:00:00,Emilia-Romagna,8,0
2020-02-25T18:00:00,Friuli Venezia Giulia,0,0
2020-02-25T18:00:00,Lazio,0,0
2020-02-25T18:00:00,Liguria,1,0
2020-02-25T18:00:00,Lombardia,68,9
2020-02-25T18:00:00,Marche,0,0
2020-02-25T18:00:00,Molise,0,0
2020-02-25T18:00:00,P.A. Bolzano,1,0
2020-02-25T18:00:00,P.A. Trento,0,0
2020-02-25T18:00:00,Piemonte,0,0
2020-02-25T18:00:00,Puglia,0,0
2020-02-25T18:00:00,Sardegna,0,0
2020-02-25T18:00:00,Sicilia,3,0
2020-02-25T18:00:00,Toscana,2,0
2020-02-25T18:00:00,Umbria,0,0
2020-02-25T18:00:00,Valle d'Aosta,0,0
2020-02-25T18:00:00,Veneto,10,1
2020-02-26T18:00:00,Abruzzo,0,0
