area,date,new_cases,new_deaths,IFR,R,AR,N,NPI 1,NPI 2,NPI 3,NPI 4,NPI 5,NPI 6,NPI 7,NPI 8,NPI 9,NPI 10
Area 1,2020-08-01 00:00:00+00:00,0.0,0.0,0.015932534128220835,1.3,0.20746108703375848,12.770823708305214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Area 1,2020-08-02 00:00:00+00:00,0.0,0.0,0.015932534128220835,1.3,0.20746108703375848,13.544260185714165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Area 1,2020-08-03 00:00:00+00:00,0.0,0.0,0.015932534128220835,1.3,0.20746108703375848,14.364538119731568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Area 1,2020-08-04 00:00:00+00:00,0.0,0.0,0.015932534128220835,1.3,0.20746108703375848,15.234494358788147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Area 1,2020-08-05 00:00:00+00:00,0.0,0.0,0.015932534128220835,1.3,0.20746108703375848,16.157137558717757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Area 1,2020-08-06 00:00:00+00:00,0.0,0.0,0.015932534128220835,1.3,0.20746108703375848,17.13565858788988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Area 1,2020-08-07 00:00:00+00:00,0.0,0.0,0.015932534128220835,1.3,0.20746108703375848,18.173441562505758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Area 1,2020-08-08 00:00:00+00:00,0.0,0.0,0.016018566251398178,1.3,0.21105466057311392,19.278420709379258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Area 1,2020-08-09 00:00:00+00:00,0.0,0.0,0.01633388340571163,1.3,0.2105833223855993,19.998749784933985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Area 1,2020-08-10 00:00:00+00:00,0.0,0.0,0.016251073760719093,1.3,0.20965760655066595,21.44722098206323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Area 1,2020-08-11 00:00:00+00:00,0.0,0.0,0.016150924514967743,1.3,0.21100962238647872,22.65690434995828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Area 1,2020-08-12 00:00:00+00:00,0.0,0.0,0.0161283660677905,1.3,0.20949955116487298,26.3239652924601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Area 1,2020-08-13 00:00:00+00:00,0.0,0.0,0.016046321270579294,1.3,0.20181263422785212,27.478197194729052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Area 1,2020-08-14 00:00:00+00:00,0.0,0.0,0.016304962060817524,1.3,0.20493359607592862,29.216029841212872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Area 1,2020-08-15 00:00:00+00:00,0.0,0.0,0.015994639705350894,1.3,0.20130316522743735,31.245742354566314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Area 1,2020-08-16 00:00:00+00:00,0.0,0.0,0.015930404231969095,1.3,0.19855247120322006,33.322558125897764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Area 1,2020-08-17 00:00:00+00:00,1.0,0.0,0.015614367199725521,1.3,0.19772353772093562,35.114818930955444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Area 1,2020-08-18 00:00:00+00:00,1.0,0.0,0.014955693476142552,1.3,0.20341283252242115,38.11864884157774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Area 1,2020-08-19 00:00:00+00:00,1.0,0.0,0.014844919665590086,1.3,0.20128256258247926,39.39060537091914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Area 1,2020-08-20 00:00:00+00:00,1.0,0.0,0.014924627925973379,1.3,0.19870159823806516,43.720787044059925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Area 1,2020-08-21 00:00:00+00:00,0.0,0.0,0.014553902917223242,1.3,0.2007301083755053,46.088325057861354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Area 1,2020-08-22 00:00:00+00:00,2.0,0.0,0.013975615543566468,1.3,0.2028500720076024,48.82808997215404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Area 1,2020-08-23 00:00:00+00:00,2.0,0.0,0.014054603424020885,1.3,0.21105707684861572,52.58918332882124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Area 1,2020-08-24 00:00:00+00:00,11.0,0.0,0.01413667590836874,1.3,0.21500335873388143,57.08301315865813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
