area,date,new_cases,new_deaths,IFR,R,AR,N,NPI 1,NPI 2,NPI 3,NPI 4,NPI 5,NPI 6,NPI 7,NPI 8,NPI 9,NPI 10
Area 1,2020-08-01 00:00:00+00:00,0.0,0.0,0.01,1.75,0.2,9.202134034154064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Area 1,2020-08-02 00:00:00+00:00,0.0,0.0,0.01,1.75,0.2,10.335569513544716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Area 1,2020-08-03 00:00:00+00:00,0.0,0.0,0.01,1.75,0.2,11.608611303946857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Area 1,2020-08-04 00:00:00+00:00,0.0,0.0,0.01,1.75,0.2,13.03845484562032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Area 1,2020-08-05 00:00:00+00:00,0.0,0.0,0.01,1.75,0.2,14.644413557328825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Area 1,2020-08-06 00:00:00+00:00,0.0,0.0,0.01,1.75,0.2,16.448179709738692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Area 1,2020-08-07 00:00:00+00:00,0.0,0.0,0.01,1.75,0.2,18.474117430838742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Area 1,2020-08-08 00:00:00+00:00,0.0,0.0,0.010000000057691416,1.75,0.1999999998038568,17.58747283951626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Area 1,2020-08-09 00:00:00+00:00,0.0,0.0,0.01000000005145197,1.75,0.19999999972818625,21.434507423407805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Area 1,2020-08-10 00:00:00+00:00,0.0,0.0,0.010000000029774563,1.75,0.1999999997885987,24.758956399962774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Area 1,2020-08-11 00:00:00+00:00,0.0,0.0,0.010000000182111059,1.75,0.1999999995388413,27.75697298062501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Area 1,2020-08-12 00:00:00+00:00,0.0,0.0,0.010000000360349981,1.75,0.19999999960059384,30.935672993559848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Area 1,2020-08-13 00:00:00+00:00,0.0,0.0,0.010000000233332374,1.75,0.1999999994781335,34.642494703381054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Area 1,2020-08-14 00:00:00+00:00,1.0,0.0,0.010000000216208975,1.75,0.19999999943404775,38.93609106302028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Area 1,2020-08-15 00:00:00+00:00,0.0,0.0,0.010000000200626732,1.75,0.19999999932804577,43.7846730848114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Area 1,2020-08-16 00:00:00+00:00,0.0,0.0,0.010000000071009395,1.75,0.19999999933627377,49.19950426219994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Area 1,2020-08-17 00:00:00+00:00,0.0,0.0,0.01000000010969685,1.75,0.1999999994255959,55.258820691185065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Area 1,2020-08-18 00:00:00+00:00,0.0,0.0,0.010000000152480825,1.75,0.19999999940439586,62.06312050319726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Area 1,2020-08-19 00:00:00+00:00,1.0,0.0,0.010000000181816158,1.75,0.19999999931916487,69.71214193628019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Area 1,2020-08-20 00:00:00+00:00,6.0,0.0,0.010000000191717973,1.75,0.19999999923115158,78.30863830967596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Area 1,2020-08-21 00:00:00+00:00,9.0,0.0,0.010000000203842542,1.75,0.1999999992365108,87.96507845678313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Area 1,2020-08-22 00:00:00+00:00,0.0,0.0,0.010000000248383984,1.75,0.1999999993343454,98.81089068418936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Area 1,2020-08-23 00:00:00+00:00,9.0,0.0,0.010000000293541653,1.75,0.19999999930804552,110.9930878107196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Area 1,2020-08-24 00:00:00+00:00,5.0,0.0,0.010000000312312575,1.75,0.1999999993953734,124.67726470168793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Area 1,2020-08-25 00:00:00+00:00,20.0,0.0,0.010000000110526092,1.75,0.199999999264317,140.04882419598306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Area 1,2020-08-26 00:00:00+00:00,15.0,0.0,0.010000000149738408,1.75,0.1999999992673822,157.31575761613087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
